"","Time_cat","Area.744","RetTime.744","Area.745","RetTime.745","Area.746","RetTime.746","Area.747","RetTime.747"
"64",22.39,22.3856449127197,79.3986587524414,22.391637802124,61.839786529541,22.391637802124,61.839786529541,22.3856449127197,79.3986587524414
"65",22.58,22.5758152008057,72.6929321289062,22.5811805725098,78.8382263183594,22.5811805725098,78.8382263183594,22.5758152008057,72.6929321289062
"66",22.7,22.6981163024902,96.562858581543,22.6994495391846,105.202095031738,22.6994495391846,105.202095031738,22.6981163024902,96.562858581543
"67",22.87,22.8657054901123,96.2463150024414,22.8673076629639,145.829025268555,22.8673076629639,145.829025268555,22.8657054901123,96.2463150024414
"68",22.93,22.9334964752197,26.7478771209717,22.9348793029785,80.7624740600586,22.9348793029785,80.7624740600586,22.9334964752197,26.7478771209717
"69",23.06,23.0619506835938,25.9756965637207,NA,NA,NA,NA,23.0619506835938,25.9756965637207
"70",23.07,NA,NA,23.0656661987305,26.1992206573486,23.0656661987305,26.1992206573486,NA,NA
"71",23.18,23.1803321838379,131.655670166016,NA,NA,NA,NA,23.1803321838379,131.655670166016
"72",23.19,NA,NA,23.1858577728271,225.207138061523,23.1858577728271,225.207138061523,NA,NA
"73",23.47,23.4720249176025,17.6809253692627,NA,NA,NA,NA,23.4720249176025,17.6809253692627
"74",23.48,NA,NA,23.4754657745361,62.0048217773438,23.4754657745361,62.0048217773438,NA,NA
"75",23.69,NA,NA,23.6939487457275,7.56886768341064,23.6939487457275,7.56886768341064,NA,NA
"76",24.31,NA,NA,24.3119506835938,3.41192364692688,24.3119506835938,3.41192364692688,NA,NA
"77",24.6,24.6005439758301,11.9342412948608,24.5998382568359,18.7515106201172,24.5998382568359,18.7515106201172,24.6005439758301,11.9342412948608
"78",24.64,24.6424732208252,9.64041328430176,24.6430549621582,11.0885343551636,24.6430549621582,11.0885343551636,24.6424732208252,9.64041328430176
"79",24.7,NA,NA,24.7022819519043,30.7756843566895,24.7022819519043,30.7756843566895,NA,NA
"80",24.77,24.7660789489746,21.3095874786377,NA,NA,NA,NA,24.7660789489746,21.3095874786377
"81",24.86,24.8630599975586,52.8743324279785,24.8635940551758,76.4568176269531,24.8635940551758,76.4568176269531,24.8630599975586,52.8743324279785
"82",25.02,25.0189990997314,45.1249732971191,25.0175399780273,70.7029647827148,25.0175399780273,70.7029647827148,25.0189990997314,45.1249732971191
"83",25.32,25.3199424743652,4.90834045410156,25.3194904327393,5.91584491729736,25.3194904327393,5.91584491729736,25.3199424743652,4.90834045410156
"84",25.45,25.4489898681641,35.0789337158203,25.4485874176025,23.3265743255615,25.4485874176025,23.3265743255615,25.4489898681641,35.0789337158203
"85",25.71,25.7069473266602,8.34541893005371,NA,NA,NA,NA,25.7069473266602,8.34541893005371
"86",25.84,25.8433570861816,7.42750310897827,25.8447799682617,13.9101152420044,25.8447799682617,13.9101152420044,25.8433570861816,7.42750310897827
"87",26,26.0014572143555,27.6752643585205,26.0019245147705,25.8961143493652,26.0019245147705,25.8961143493652,26.0014572143555,27.6752643585205
"88",26.12,26.1248226165771,76.8506088256836,26.1245765686035,78.4727249145508,26.1245765686035,78.4727249145508,26.1248226165771,76.8506088256836
"89",26.49,26.4892673492432,2.61060333251953,NA,NA,NA,NA,26.4892673492432,2.61060333251953
